mp_id,cif_path,bandgap_pbe
mp-626542,data_raw/mp-626542.cif,0.28750000000000003
mp-626543,data_raw/mp-626543.cif,2.4233000000000002
mp-677065,data_raw/mp-677065.cif,2.153299999999999
mp-756077,data_raw/mp-756077.cif,2.876
mp-776473,data_raw/mp-776473.cif,2.9487
mp-776474,data_raw/mp-776474.cif,3.055199999999999
mp-850876,data_raw/mp-850876.cif,2.9248000000000003
mp-556422,data_raw/mp-556422.cif,2.8075
mp-606393,data_raw/mp-606393.cif,1.9659
mp-758096,data_raw/mp-758096.cif,1.923099999999999
mp-764274,data_raw/mp-764274.cif,3.4202
mp-766847,data_raw/mp-766847.cif,0.0
mp-540540,data_raw/mp-540540.cif,1.749
mp-1228805,data_raw/mp-1228805.cif,0.0
mp-1208583,data_raw/mp-1208583.cif,3.0691
mp-27815,data_raw/mp-27815.cif,2.401799999999999
mp-28573,data_raw/mp-28573.cif,0.8858
mp-556208,data_raw/mp-556208.cif,0.0
mp-753785,data_raw/mp-753785.cif,3.2629
mp-1202206,data_raw/mp-1202206.cif,1.4763
mp-1220556,data_raw/mp-1220556.cif,1.9457
mp-1221539,data_raw/mp-1221539.cif,0.9067000000000001
mp-23528,data_raw/mp-23528.cif,2.4544
mp-2903341,data_raw/mp-2903341.cif,4.1483
mp-29863,data_raw/mp-29863.cif,2.5284
mp-556026,data_raw/mp-556026.cif,3.6563
mp-752787,data_raw/mp-752787.cif,3.469999999999999
mp-753455,data_raw/mp-753455.cif,0.024099999999999
mp-759983,data_raw/mp-759983.cif,3.495
mp-760178,data_raw/mp-760178.cif,2.8891
mp-761759,data_raw/mp-761759.cif,2.6842
mp-760414,data_raw/mp-760414.cif,0.0
mp-558934,data_raw/mp-558934.cif,1.2708
mp-1216814,data_raw/mp-1216814.cif,0.0
mp-2802611,data_raw/mp-2802611.cif,5.5012
mp-34078,data_raw/mp-34078.cif,5.3864
mp-625509,data_raw/mp-625509.cif,4.4183
mp-1094112,data_raw/mp-1094112.cif,4.2198
mp-559377,data_raw/mp-559377.cif,3.637
mp-753030,data_raw/mp-753030.cif,3.3804
mp-753398,data_raw/mp-753398.cif,2.4411
mp-760762,data_raw/mp-760762.cif,3.7013
mp-1205638,data_raw/mp-1205638.cif,1.551499999999999
mp-1206444,data_raw/mp-1206444.cif,1.5285000000000002
mp-29019,data_raw/mp-29019.cif,0.633999999999999
mp-505212,data_raw/mp-505212.cif,1.3261
mp-769398,data_raw/mp-769398.cif,1.6831
mp-772199,data_raw/mp-772199.cif,0.6119999999999991
mp-2767167,data_raw/mp-2767167.cif,4.1307
mp-753800,data_raw/mp-753800.cif,3.6991
mp-753945,data_raw/mp-753945.cif,3.6609
mp-757111,data_raw/mp-757111.cif,2.6517
mp-775981,data_raw/mp-775981.cif,1.8771
mp-776441,data_raw/mp-776441.cif,1.8397000000000001
mp-1069296,data_raw/mp-1069296.cif,0.0
mp-1070737,data_raw/mp-1070737.cif,0.2972
mp-11651,data_raw/mp-11651.cif,0.0
mp-11652,data_raw/mp-11652.cif,0.0
